;2724
通信工程（本科，理工类）;8452
粮油储藏与检测技术;5825
工商企业管理(物流);729
美术学（国画、油画、装饰艺术，师范）（本科）;7484
电子信息科学与技术（本科）;7472
汽车检测与维修技术(SGAVE项目班);4167
酒店管理（本科）;7442
交通工程+软件工程;2626
日语（日英双语）;7281
电气工程及其自动化专业（理科）【四川省特色专业】;8908
市场营销教育;9256
经济统计学（会统核算）;4987
英语专业(商务英语);4507
轮机工程技术(现代船舶设备与管理);7681
公共事业管理（数字传媒经营与管理方向）;251
食品营养与检测(食品检测方向);2470
市场营销（网络营销）;7752
铁道交通运营管理 文;5818
教育学(专科起点);1092
英日双语;3026
表演(播音与主持艺术);8629
考古学;2
焙烤食品加工技术;2910
物联网工程（智能交通与车联网）;8608
信息应用与工业工程系;5238
旅游管理（邮轮游艇管理）专业;2568
经济法律事务;3239
软件工程+交通运输  ;4937
海洋资源开发技术;2555
计算机科学与技术（数字仿真与游戏设计方向）;1464
临床医学（麻醉学方向）;4670
电子商务/涉外文秘;4373
会计学（审计、财务会计、会计信息化、;4480
中医学（中西医结合）（本硕连读）（与南京师范大学联合培养）;3976
作物生产技术;1759
广播电视编导专业;9299
建筑工程技术（施工技术）;7901
康复工程技术;3769
商务英语（会展策划与管理方向）;8014
　　视觉传达设计专业（四年制本科）;9644
石油与天然气地质勘探技术专业（理科）;8920
软件技术（网页设计师方向）;8561
英语教育（２年制）;2445
  建筑环境与能源应用工程;4643
野生植物资源开发与利用;3247
园林技术专业（园林规划与设计方向）;1789
软件工程（软件技术）;4953
物联网工程专业;1269
建筑环境与设备工程专业;641
食品科学与工程类(中外合作办学)(食品科学与工程);6566
乳品工艺;2530
计算机应用技术（软件技术，与微软合作办学;4104
城市检测与工程技术;4121
工程管理(房建工程项目管理）;4915
航空电子信息技术;6932
商检技术;8362
信息科学与技术;9682
计算机应用技术（数据库技术方向）;6678
市场营销（BTEC）;7647
食品营养与检查;8292
土地资源管理（中英合作）;5540
